Country code,Custom new,Custom returning
US,8624,867
RU,2700,340
CN,2369,42
CA,1328,149
BR,947,53
GB,846,60
DE,738,50
PH,728,32
VN,726,41
ID,548,35
AU,531,50
ES,507,46
FR,485,39
PL,476,44
NL,446,46
UA,424,41
IT,404,20
TH,401,21
MY,320,13
MX,310,16
SE,284,25
JP,259,17
AR,254,15
TR,246,13
DK,234,28
SG,228,20
HK,196,13
BY,196,30
KZ,164,23
KR,158,3
CZ,156,16
IN,154,9
FI,142,13
RO,139,11
HU,130,8
NZ,127,14
CL,123,8
BE,116,14
RS,117,15
NO,108,14
IL,108,12
TW,106,7
CO,103,6
PT,99,6
IE,94,11
LT,91,13
LV,83,17
PE,83,3
GE,81,9
AT,80,6